revenue_per_user,orders_cnt_per_user,converted_from_main_screen_to_item_card_screen,group,period
999.9,12.0,0,A,before test
999.10,12.1,0,B,in test
999.11,12.2,0,A,before test
999.12,12.3,0,B,before test
999.13,12.4,1,A,before test
999.14,12.5,0,B,in test
999.15,12.6,0,B,before test
999.16,12.7,0,B,in test
999.17,12.8,0,B,in test
999.18,12.9,1,B,before test
999.19,12.10,0,B,in test
999.20,12.11,0,B,in test
999.21,12.12,0,B,in test
999.22,12.13,0,B,before test
999.23,12.14,0,B,before test
999.24,12.15,0,A,before test
999.25,12.16,1,A,before test
999.26,12.17,0,A,before test
999.27,12.18,0,B,before test
999.28,12.19,0,A,before test
999.29,12.20,0,B,before test
999.30,12.21,0,B,before test
999.31,12.22,1,B,in test
999.32,12.23,0,A,in test
999.33,12.24,0,B,in test
999.34,12.25,0,A,before test
999.35,12.26,1,B,before test
999.36,12.27,0,B,before test
999.37,12.28,0,A,in test
999.38,12.29,0,B,in test
999.39,12.30,0,B,before test
999.40,12.31,0,B,before test
999.41,12.32,0,A,in test
999.42,12.33,0,A,in test
999.43,12.34,1,B,in test
999.44,12.35,0,A,in test
999.45,12.36,0,A,before test
999.46,12.37,0,A,in test
999.47,12.38,0,B,before test
999.48,12.39,0,B,before test
999.49,12.40,0,B,before test
999.50,12.41,0,A,before test
999.51,12.42,0,B,before test
999.52,12.43,0,A,in test
999.53,12.44,0,B,before test
999.54,12.45,0,B,in test
999.55,12.46,0,B,in test
999.56,12.47,0,A,in test
999.57,12.48,0,B,in test
999.58,12.49,0,B,in test
999.59,12.50,0,A,before test
999.60,12.51,1,A,before test
999.61,12.52,0,B,before test
999.62,12.53,0,B,in test
999.63,12.54,0,A,in test
999.64,12.55,0,B,in test
999.65,12.56,0,B,before test
999.66,12.57,0,B,in test
999.67,12.58,0,B,before test
999.68,12.59,0,A,before test
999.69,12.60,0,A,before test
999.70,12.61,1,B,in test
999.71,12.62,0,B,in test
999.72,12.63,0,B,before test
999.73,12.64,0,A,before test
999.74,12.65,0,B,in test
999.75,12.66,0,A,in test
999.76,12.67,1,B,in test
999.77,12.68,0,A,before test
999.78,12.69,0,B,before test
999.79,12.70,0,A,in test
999.80,12.71,0,A,in test
999.81,12.72,0,B,in test
999.82,12.73,0,A,in test
999.83,12.74,0,B,in test
999.84,12.75,1,A,before test
999.85,12.76,0,B,before test
999.86,12.77,0,A,in test
999.87,12.78,0,B,in test
999.88,12.79,0,A,in test
999.89,12.80,0,B,before test
999.90,12.81,0,B,in test
999.91,12.82,0,B,in test
999.92,12.83,0,B,before test
999.93,12.84,0,A,before test
999.94,12.85,0,B,before test
999.95,12.86,0,B,before test
